Plate,Replicate,Row,Column,Well,WellType,mutant_ID,growth_medium
spec_RIFxT33_ONC,3,A,1,A1,EMPTY,NA,NA
spec_RIFxT33_ONC,3,B,1,B1,EMPTY,NA,NA
spec_RIFxT33_ONC,3,C,1,C1,EMPTY,NA,NA
spec_RIFxT33_ONC,3,D,1,D1,EMPTY,NA,NA
spec_RIFxT33_ONC,3,E,1,E1,EMPTY,NA,NA
spec_RIFxT33_ONC,3,F,1,F1,EMPTY,NA,NA
spec_RIFxT33_ONC,3,G,1,G1,EMPTY,NA,NA
spec_RIFxT33_ONC,3,H,1,H1,EMPTY,NA,NA
spec_RIFxT33_ONC,3,A,2,A2,EMPTY,NA,NA
spec_RIFxT33_ONC,3,B,2,B2,DATA,M8,M9gluc
spec_RIFxT33_ONC,3,C,2,C2,DATA,M21,M9gluc
spec_RIFxT33_ONC,3,D,2,D2,DATA,M25,M9gluc
spec_RIFxT33_ONC,3,E,2,E2,DATA,M8,LB
spec_RIFxT33_ONC,3,F,2,F2,DATA,M21,LB
spec_RIFxT33_ONC,3,G,2,G2,DATA,M25,LB
spec_RIFxT33_ONC,3,H,2,H2,EMPTY,NA,NA
spec_RIFxT33_ONC,3,A,3,A3,EMPTY,NA,NA
spec_RIFxT33_ONC,3,B,3,B3,BLANK,NA,M9gluc
spec_RIFxT33_ONC,3,C,3,C3,DATA,M3,M9gluc
spec_RIFxT33_ONC,3,D,3,D3,DATA,M15,M9gluc
spec_RIFxT33_ONC,3,E,3,E3,BLANK,NA,LB
spec_RIFxT33_ONC,3,F,3,F3,DATA,M3,LB
spec_RIFxT33_ONC,3,G,3,G3,DATA,M15,LB
spec_RIFxT33_ONC,3,H,3,H3,EMPTY,NA,NA
spec_RIFxT33_ONC,3,A,4,A4,EMPTY,NA,NA
spec_RIFxT33_ONC,3,B,4,B4,DATA,M16,M9gluc
spec_RIFxT33_ONC,3,C,4,C4,DATA,M17,M9gluc
spec_RIFxT33_ONC,3,D,4,D4,DATA,WT,M9gluc
spec_RIFxT33_ONC,3,E,4,E4,DATA,M16,LB
spec_RIFxT33_ONC,3,F,4,F4,DATA,M17,LB
spec_RIFxT33_ONC,3,G,4,G4,DATA,WT,LB
